REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
net.sf.colossus.client.Client	class	class	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	createClient(java.lang.String,int,java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,boolean)	LOGGER	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	spectator	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	internalSpectator	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	INTERNAL_DUMMY_CLIENT_NAME	net.sf.colossus.common.Constants	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	game	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	game	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	connection	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	connection	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	resourceLoader	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	LOGGER	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	resourceLoader	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	owningPlayer	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	owningPlayer	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	ai	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	gui	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	gui	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	autoplay	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	options	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	autoPlay	net.sf.colossus.common.Options	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	owningPlayer	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	server	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	connection	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	server	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	server	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	localServer	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	this	net.sf.colossus.client.Client	SOURCE
net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	gui	net.sf.colossus.client.Client	SOURCE
