id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	net.sf.colossus.client.Client	createClient(java.lang.String,int,java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,boolean)	0	[false, false, false, false, false, false, false, false, false, false]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
2	net.sf.colossus.client.Client	Client(java.lang.String,java.lang.String,net.sf.colossus.common.WhatNextManager,net.sf.colossus.server.Server,boolean,boolean,boolean,net.sf.colossus.util.ResourceLoader,net.sf.colossus.client.IServerConnection,net.sf.colossus.variant.Variant,boolean)	0	[false, false, false, false, false, false, false, false, false, false, false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
3	net.sf.colossus.client.Client	createAI(java.lang.String)	0	[false]		private	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
4	net.sf.colossus.client.Client	appendToConnectionLog(java.lang.String)	5	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
6	net.sf.colossus.client.Client	isSctAlreadyDown()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
7	net.sf.colossus.client.Client	isRemote()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
8	net.sf.colossus.client.Client	isSpectator()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
9	net.sf.colossus.client.Client	needsWatchdog()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
10	net.sf.colossus.client.Client	hasWatchdog()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
11	net.sf.colossus.client.Client	setClockTicking(boolean)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
12	net.sf.colossus.client.Client	isClockTicking()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
13	net.sf.colossus.client.Client	isTheInternalSpectator()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
14	net.sf.colossus.client.Client	isAutoplayActive()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
15	net.sf.colossus.client.Client	getAutoplay()	0	[]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
16	net.sf.colossus.client.Client	getAutoSplit()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
17	net.sf.colossus.client.Client	isAlive()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
18	net.sf.colossus.client.Client	isPaused()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
19	net.sf.colossus.client.Client	setCurrentLegionMarkerId(java.lang.String)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
20	net.sf.colossus.client.Client	getCurrentLegionMarkerId()	0	[]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
21	net.sf.colossus.client.Client	setPauseState(boolean)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
22	net.sf.colossus.client.Client	enforcedDisconnect()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
23	net.sf.colossus.client.Client	ensureThatConnected()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
24	net.sf.colossus.client.Client	notifyThatNotConnected()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
25	net.sf.colossus.client.Client	enforcedDisconnectByServer()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
26	net.sf.colossus.client.Client	isConnected()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
27	net.sf.colossus.client.Client	abandonCurrentConnection()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
28	net.sf.colossus.client.Client	tryReconnect(boolean)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
29	net.sf.colossus.client.Client	guiTriggeredTryReconnect()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
30	net.sf.colossus.client.Client	setConnectAttemptsRoundCompleted()	0	[]		private	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/colossus/src/main/java/net/sf/colossus/client/Client.java
