REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
edu.cmu.sv.ws.ssnoc.dto.User	getUserName()	userName	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getLatitude()	latitude	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getLongitude()	longitude	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setUserName(java.lang.String)	userName	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setUserName(java.lang.String)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getPassword()	password	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setPassword(java.lang.String)	password	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setPassword(java.lang.String)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getProfession()	profession	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setProfession(java.lang.String)	profession	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setProfession(java.lang.String)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getStatus()	status	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setStatus(java.lang.String)	status	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setStatus(java.lang.String)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getStatusUpdateTime()	statusUpdateTime	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setStatusUpdateTime(java.sql.Timestamp)	statusUpdateTime	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setStatusUpdateTime(java.sql.Timestamp)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setLatitude(java.lang.Double)	latitude	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setLatitude(java.lang.Double)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setLongitude(java.lang.Double)	longitude	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setLongitude(java.lang.Double)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getRole()	role	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setRole(java.lang.String)	role	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setRole(java.lang.String)	this	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	getAccountStatus()	accountStatus	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
edu.cmu.sv.ws.ssnoc.dto.User	setAccountStatus(java.lang.String)	accountStatus	edu.cmu.sv.ws.ssnoc.dto.User	SOURCE
