REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
ui.swing.TitleScreen	TitleScreen()	JFrame(java.lang.String)	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	getString(java.lang.String)	ui.Translator	SOURCE
ui.swing.TitleScreen	TitleScreen()	setSize(int,int)	java.awt.Window	SOURCE
ui.swing.TitleScreen	TitleScreen()	read(java.net.URL)	javax.imageio.ImageIO	SOURCE
ui.swing.TitleScreen	TitleScreen()	getResource(java.lang.String)	java.lang.ClassLoader	SOURCE
ui.swing.TitleScreen	TitleScreen()	getClassLoader()	java.lang.Class	SOURCE
ui.swing.TitleScreen	TitleScreen()	setDefaultCloseOperation(int)	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	setResizable(boolean)	java.awt.Frame	SOURCE
ui.swing.TitleScreen	TitleScreen()	add(java.awt.Component)	java.awt.Container	SOURCE
ui.swing.TitleScreen	TitleScreen()	getContentPane()	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	LangButton(java.lang.String,int)	ui.swing.TitleScreen$LangButton	SOURCE
ui.swing.TitleScreen	TitleScreen()	add(java.awt.Component)	java.awt.Container	SOURCE
ui.swing.TitleScreen	TitleScreen()	getContentPane()	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	LangButton(java.lang.String,int)	ui.swing.TitleScreen$LangButton	SOURCE
ui.swing.TitleScreen	TitleScreen()	add(java.awt.Component)	java.awt.Container	SOURCE
ui.swing.TitleScreen	TitleScreen()	getContentPane()	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	LangButton(java.lang.String,int)	ui.swing.TitleScreen$LangButton	SOURCE
ui.swing.TitleScreen	TitleScreen()	add(java.awt.Component)	java.awt.Container	SOURCE
ui.swing.TitleScreen	TitleScreen()	getContentPane()	javax.swing.JFrame	SOURCE
ui.swing.TitleScreen	TitleScreen()	LangButton(java.lang.String,int)	ui.swing.TitleScreen$LangButton	SOURCE
ui.swing.TitleScreen$1	null	setBounds(int,int,int,int)	java.awt.Component	SOURCE
ui.swing.TitleScreen$1	null	setFont(java.awt.Font)	javax.swing.JComponent	SOURCE
ui.swing.TitleScreen$1	null	Font(java.lang.String,int,int)	java.awt.Font	SOURCE
ui.swing.TitleScreen$1	null	setForeground(java.awt.Color)	javax.swing.JComponent	SOURCE
ui.swing.TitleScreen$1	null	Color(int,int,int)	java.awt.Color	SOURCE
ui.swing.TitleScreen$1	null	addMouseListener(java.awt.event.MouseListener)	java.awt.Component	SOURCE
ui.swing.TitleScreen$1	null	ButtonListener(java.lang.String)	ui.swing.TitleScreen$ButtonListener	SOURCE
ui.swing.TitleScreen$2	null	setBounds(int,int,int,int)	java.awt.Component	SOURCE
ui.swing.TitleScreen$2	null	setFont(java.awt.Font)	javax.swing.JComponent	SOURCE
ui.swing.TitleScreen$2	null	Font(java.lang.String,int,int)	java.awt.Font	SOURCE
ui.swing.TitleScreen$2	null	saveExists()	domain.Controller	SOURCE
ui.swing.TitleScreen$2	null	getInstance()	domain.Controller	SOURCE
ui.swing.TitleScreen$2	null	setForeground(java.awt.Color)	javax.swing.JComponent	SOURCE
ui.swing.TitleScreen$2	null	Color(int,int,int)	java.awt.Color	SOURCE
ui.swing.TitleScreen$2	null	setForeground(java.awt.Color)	javax.swing.JComponent	SOURCE
ui.swing.TitleScreen$2	null	Color(int,int,int)	java.awt.Color	SOURCE
