id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	jxl.write.Label	Label(int,int,java.lang.String)	0	[false, false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
2	jxl.write.Label	Label(int,int,java.lang.String,jxl.format.CellFormat)	0	[false, false, false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
3	jxl.write.Label	Label(int,int,jxl.write.Label)	0	[false, false, false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
4	jxl.write.Label	Label(jxl.LabelCell)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
5	jxl.write.Label	setString(java.lang.String)	6	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
7	jxl.write.Label	copyTo(int,int)	8	[false, false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/Label.java
9	jxl.write.biff.LabelRecord	LabelRecord(int,int,java.lang.String)	0	[false, false, false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
10	jxl.write.biff.LabelRecord	LabelRecord(int,int,java.lang.String,jxl.format.CellFormat)	0	[false, false, false, false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
11	jxl.write.biff.LabelRecord	LabelRecord(int,int,jxl.write.biff.LabelRecord)	0	[false, false, false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
12	jxl.write.biff.LabelRecord	LabelRecord(jxl.LabelCell)	0	[false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
13	jxl.write.biff.LabelRecord	getType()	14	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
15	jxl.write.biff.LabelRecord	getData()	16	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
17	jxl.write.biff.LabelRecord	getContents()	18	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
19	jxl.write.biff.LabelRecord	getString()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/jexcelapi/src/main/java/jxl/write/biff/LabelRecord.java
