REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.slot10.group75.mediaPlayer.Song	Song(java.lang.String)	threadIDCounter	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	super	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	playing	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	paused	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	decodedInputStream	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	data	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	length	Array	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	data	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	dataLine	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	data	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	playing	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	inputStream	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	file	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	format	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	this	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	inputStream	org.slot10.group75.mediaPlayer.Song	SOURCE
