REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.slot10.group75.mediaPlayer.Song	Song(java.lang.String)	MediaObject(java.lang.String,java.lang.String)	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	loop()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	read(byte[],int,int)	javax.sound.sampled.AudioInputStream	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	write(byte[],int,int)	javax.sound.sampled.SourceDataLine	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	softStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	handleError(java.lang.Throwable)	org.slot10.group75.mediaPlayer.Core	SOURCE
org.slot10.group75.mediaPlayer.Song	loop()	getInstance()	org.slot10.group75.mediaPlayer.Core	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	checkFile()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getAudioInputStream(java.io.File)	javax.sound.sampled.AudioSystem	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getFormat()	javax.sound.sampled.AudioInputStream	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	AudioFormat(javax.sound.sampled.AudioFormat.Encoding,float,int,int,int,float,boolean)	javax.sound.sampled.AudioFormat	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getSampleRate()	javax.sound.sampled.AudioFormat	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getChannels()	javax.sound.sampled.AudioFormat	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getChannels()	javax.sound.sampled.AudioFormat	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getSampleRate()	javax.sound.sampled.AudioFormat	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getAudioInputStream(javax.sound.sampled.AudioFormat,javax.sound.sampled.AudioInputStream)	javax.sound.sampled.AudioSystem	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getDataLine()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	start()	javax.sound.sampled.DataLine	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	stopPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	handleError(java.lang.Throwable)	org.slot10.group75.mediaPlayer.Core	SOURCE
org.slot10.group75.mediaPlayer.Song	startPlaying()	getInstance()	org.slot10.group75.mediaPlayer.Core	SOURCE
org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	drain()	javax.sound.sampled.DataLine	SOURCE
org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	stop()	javax.sound.sampled.DataLine	SOURCE
org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	close()	javax.sound.sampled.Line	SOURCE
org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	close()	javax.sound.sampled.AudioInputStream	SOURCE
org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	close()	javax.sound.sampled.AudioInputStream	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlaying()	lock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlaying()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlaying()	stopPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlaying()	unlock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.Song	softStopPlaying()	lock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.Song	softStopPlaying()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	softStopPlaying()	softStopPlaying()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
org.slot10.group75.mediaPlayer.Song	softStopPlaying()	unlock()	java.util.concurrent.locks.Lock	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlayingImmediately()	internalStopPlaying()	org.slot10.group75.mediaPlayer.Song	SOURCE
org.slot10.group75.mediaPlayer.Song	stopPlayingImmediately()	stopPlayingImmediately()	org.slot10.group75.mediaPlayer.MediaObject	SOURCE
