id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	org.slot10.group75.mediaPlayer.Song	Song(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
2	org.slot10.group75.mediaPlayer.Song	loop()	3	[]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
4	org.slot10.group75.mediaPlayer.Song	startPlaying()	5	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
6	org.slot10.group75.mediaPlayer.Song	internalStopPlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
7	org.slot10.group75.mediaPlayer.Song	stopPlaying()	8	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
9	org.slot10.group75.mediaPlayer.Song	softStopPlaying()	10	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
11	org.slot10.group75.mediaPlayer.Song	stopPlayingImmediately()	12	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
13	org.slot10.group75.mediaPlayer.Song	preload()	14	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
15	org.slot10.group75.mediaPlayer.Song	getDataLine()	0	[]		protected	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
16	org.slot10.group75.mediaPlayer.Song	getDuration(boolean)	17	[false]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
18	org.slot10.group75.mediaPlayer.Song	updateProperties()	19	[]	java.lang.SuppressWarnings,java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
20	org.slot10.group75.mediaPlayer.Song	readObject(java.io.ObjectInputStream)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Song.java
21	org.slot10.group75.mediaPlayer.MediaObject	MediaObject(java.lang.String,java.lang.String)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
22	org.slot10.group75.mediaPlayer.MediaObject	MediaObject(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
3	org.slot10.group75.mediaPlayer.MediaObject	loop()	23	[]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
24	org.slot10.group75.mediaPlayer.MediaObject	handleMessage()	25	[]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
26	org.slot10.group75.mediaPlayer.MediaObject	pausePlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
27	org.slot10.group75.mediaPlayer.MediaObject	restartPlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
8	org.slot10.group75.mediaPlayer.MediaObject	stopPlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
10	org.slot10.group75.mediaPlayer.MediaObject	softStopPlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
12	org.slot10.group75.mediaPlayer.MediaObject	stopPlayingImmediately()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
28	org.slot10.group75.mediaPlayer.MediaObject	getMessageClass()	29	[]	java.lang.Override	public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
30	org.slot10.group75.mediaPlayer.MediaObject	getPath()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
31	org.slot10.group75.mediaPlayer.MediaObject	getDuration()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
17	org.slot10.group75.mediaPlayer.MediaObject	getDuration(boolean)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
32	org.slot10.group75.mediaPlayer.MediaObject	getDurationString()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
33	org.slot10.group75.mediaPlayer.MediaObject	getDurationString(boolean)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
