id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	com.lbp.SessionListenerClasses.SessionListener	SessionListener()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/SessionListenerClasses/SessionListener.java
2	com.lbp.SessionListenerClasses.SessionListener	sessionCreated(javax.servlet.http.HttpSessionEvent)	3	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/SessionListenerClasses/SessionListener.java
4	com.lbp.SessionListenerClasses.SessionListener	sessionDestroyed(javax.servlet.http.HttpSessionEvent)	5	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/SessionListenerClasses/SessionListener.java
6	com.lbp.SessionListenerClasses.RemoveSession	RemoveSession()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/SessionListenerClasses/RemoveSession.java
7	com.lbp.SessionListenerClasses.RemoveSession	removeSession(java.lang.String)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/SessionListenerClasses/RemoveSession.java
8	com.lbp.jspclasses.StartGame	StartGame()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/StartGame.java
9	com.lbp.jspclasses.StartGame	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/StartGame.java
11	com.lbp.jspclasses.StartGame	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/StartGame.java
13	com.lbp.jspclasses.Chance	Chance()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Chance.java
14	com.lbp.jspclasses.Chance	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Chance.java
15	com.lbp.jspclasses.Chance	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Chance.java
16	com.lbp.jspclasses.CheckBname	CheckBname()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckBname.java
17	com.lbp.jspclasses.CheckBname	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckBname.java
18	com.lbp.jspclasses.CheckBname	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckBname.java
19	com.lbp.jspclasses.PositionUpdate	PositionUpdate()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/PositionUpdate.java
20	com.lbp.jspclasses.PositionUpdate	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/PositionUpdate.java
21	com.lbp.jspclasses.PositionUpdate	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/PositionUpdate.java
22	com.lbp.jspclasses.DBConnection	DBConnection()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/DBConnection.java
23	com.lbp.jspclasses.DBConnection	getConnection()	0	[]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/DBConnection.java
24	com.lbp.jspclasses.DBConnection	closeConnection(java.sql.Connection)	0	[false]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/DBConnection.java
25	com.lbp.jspclasses.DBConnection	trustMe(int,java.lang.String)	0	[false, false]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/DBConnection.java
26	com.lbp.jspclasses.CheckUname	CheckUname()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckUname.java
27	com.lbp.jspclasses.CheckUname	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckUname.java
28	com.lbp.jspclasses.CheckUname	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckUname.java
29	com.lbp.jspclasses.GetColors	GetColors()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetColors.java
30	com.lbp.jspclasses.GetColors	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetColors.java
31	com.lbp.jspclasses.GetColors	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetColors.java
32	com.lbp.jspclasses.GetScore	GetScore()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetScore.java
33	com.lbp.jspclasses.GetScore	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetScore.java
34	com.lbp.jspclasses.GetScore	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetScore.java
35	com.lbp.jspclasses.CheckStarted	CheckStarted()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckStarted.java
36	com.lbp.jspclasses.CheckStarted	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckStarted.java
37	com.lbp.jspclasses.CheckStarted	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckStarted.java
38	com.lbp.jspclasses.GetWinner	GetWinner()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetWinner.java
39	com.lbp.jspclasses.GetWinner	getWinner(java.lang.String)	0	[false]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetWinner.java
40	com.lbp.jspclasses.GetDetails	GetDetails()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetDetails.java
41	com.lbp.jspclasses.GetDetails	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetDetails.java
42	com.lbp.jspclasses.GetDetails	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetDetails.java
43	com.lbp.jspclasses.GetPlayerNames	GetPlayerNames()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetPlayerNames.java
44	com.lbp.jspclasses.GetPlayerNames	getPlayerNames(java.lang.String)	0	[false]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetPlayerNames.java
45	com.lbp.jspclasses.GetFullDetails	GetFullDetails()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetFullDetails.java
46	com.lbp.jspclasses.GetFullDetails	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetFullDetails.java
47	com.lbp.jspclasses.GetFullDetails	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetFullDetails.java
48	com.lbp.jspclasses.CheckPassP	CheckPassP()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckPassP.java
49	com.lbp.jspclasses.CheckPassP	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckPassP.java
50	com.lbp.jspclasses.CheckPassP	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/CheckPassP.java
51	com.lbp.jspclasses.GetGamerDetails	GetGamerDetails()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetGamerDetails.java
52	com.lbp.jspclasses.GetGamerDetails	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetGamerDetails.java
53	com.lbp.jspclasses.GetGamerDetails	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetGamerDetails.java
54	com.lbp.jspclasses.Logout	Logout()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Logout.java
55	com.lbp.jspclasses.Logout	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Logout.java
56	com.lbp.jspclasses.Logout	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/Logout.java
57	com.lbp.jspclasses.GetBnames	GetBnames()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetBnames.java
58	com.lbp.jspclasses.GetBnames	getBnames()	0	[]		public	true	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/jspclasses/GetBnames.java
59	com.lbp.servletclasses.join	join()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/join.java
60	com.lbp.servletclasses.join	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/join.java
61	com.lbp.servletclasses.join	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/join.java
62	com.lbp.servletclasses.Contact	Contact()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Contact.java
63	com.lbp.servletclasses.Contact	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Contact.java
64	com.lbp.servletclasses.Contact	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Contact.java
65	com.lbp.servletclasses.Login	Login()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Login.java
66	com.lbp.servletclasses.Login	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Login.java
67	com.lbp.servletclasses.Login	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Login.java
68	com.lbp.servletclasses.Registration	Registration()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Registration.java
69	com.lbp.servletclasses.Registration	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Registration.java
70	com.lbp.servletclasses.Registration	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/Registration.java
71	com.lbp.servletclasses.CreateGame	CreateGame()	0	[]		public	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/CreateGame.java
72	com.lbp.servletclasses.CreateGame	doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	10	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/CreateGame.java
73	com.lbp.servletclasses.CreateGame	doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)	12	[false, false]		protected	false	 /Users/kknock/RIPLE/taint/injection-experiment-gradle/snakeandladder/src/main/java/com/lbp/servletclasses/CreateGame.java
